管理者名称,地区名称,種別名称,公園名_漢字,施設名,仕様・規格,数量,単位,設置場所【地区名】,対象年齢,住所
金沢土木事務所,金沢区,街区公園,赤井谷公園,すべり台,プレイシェイパー（幼児用）,1,基,,3〜6,釜利谷東3-9
金沢土木事務所,金沢区,街区公園,赤井谷公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,赤井谷公園,砂場,,1,基,,,
金沢土木事務所,金沢区,街区公園,赤井谷公園,鉄棒,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,スプリング遊具,コアラ,1,基,,3〜6,釜利谷東3-26
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,スプリング遊具,パンダ,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,すべり台,,1,基,,,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,鉄棒,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,ブランコ,,1,基,,6〜12,釜利谷東3-18
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,砂場,,1,か所,,3〜6,
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,鉄棒,,1,基,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,すべり台,,1,基,,,東朝比奈2-46
金沢土木事務所,金沢区,街区公園,朝比奈町公園,ブランコ,,1,基,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,ブランコマット,,5,m2,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,砂場,,1,基,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,鉄棒,,1,基,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,遊具説明板,,1,基,,,
金沢土木事務所,金沢区,街区公園,イガイ根公園,鋼製複合遊具,,1,基,,3〜12,並木3-9
金沢土木事務所,金沢区,街区公園,伊賀山公園,ブランコ,,1,基,,6〜12,大道1-42
金沢土木事務所,金沢区,街区公園,伊賀山公園,鋼製複合遊具,,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,伊賀山公園,鉄棒,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,大川公園,スプリング遊具,ブルドーザー,1,基,,3〜6,釜利谷東2-1
金沢土木事務所,金沢区,街区公園,大川公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,大川公園,鋼製複合遊具,,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,大川公園,砂場,,1,か所,,3〜6,
金沢土木事務所,金沢区,街区公園,奥座公園,クライム遊具,幼児用クライム遊具,1,基,,,釜利谷西4-19
金沢土木事務所,金沢区,街区公園,奥座公園,ジャングルジム,幼児用ジャングルジム,1,基,,,
金沢土木事務所,金沢区,街区公園,奥座公園,すべり台,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,奥座公園,すべり台,幼児用斜面すべり台,1,基,,,
金沢土木事務所,金沢区,街区公園,奥座公園,ブランコ,,1,基,,,
金沢土木事務所,金沢区,街区公園,奥座公園,砂場,,1,基,,,
金沢土木事務所,金沢区,街区公園,乙舳第二公園,スプリング遊具,エレファント,1,基,,3〜6,乙舳町21-31
金沢土木事務所,金沢区,街区公園,乙舳第二公園,スプリング遊具,バード,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,乙舳第二公園,砂場,,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,片吹公園,ジャングルジム,,1,基,,6〜12,片吹53
金沢土木事務所,金沢区,街区公園,片吹公園,すべり台,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,片吹公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,片吹公園,砂場,,1,か所,,3〜6,
金沢土木事務所,金沢区,街区公園,片吹公園,鉄棒,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,片吹第二公園,ブランコ,,1,基,,6〜12,片吹16
金沢土木事務所,金沢区,街区公園,片吹第二公園,砂場,,1,か所,,3〜6,
金沢土木事務所,金沢区,街区公園,片吹第二公園,鉄棒,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,金沢町公園,すべり台,,1,基,,6〜12,金沢町121
金沢土木事務所,金沢区,街区公園,金沢町公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,金沢町公園,健康遊具,背伸ばしベンチ,2,基,,,
金沢土木事務所,金沢区,街区公園,金沢町公園,鋼製複合遊具,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,金沢町公園,砂場,,1,か所,,3〜6,
金沢土木事務所,金沢区,街区公園,金沢町第二公園,すべり台,,1,基,,3〜12,金沢町184-132
金沢土木事務所,金沢区,街区公園,金沢町第二公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,金沢町第二公園,プレイスカルプチュア,カメ,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,金沢町第二公園,プレイスカルプチュア,ワニ,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,金沢町第二公園,健康遊具,背伸ばしベンチ,1,基,,,
金沢土木事務所,金沢区,街区公園,金沢町第二公園,鉄棒,,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,金沢八幡公園,健康遊具,ぶらさがり,1,基,,,寺前1-10
金沢土木事務所,金沢区,街区公園,金沢八幡公園,健康遊具,背のばしベンチ,1,基,,,
金沢土木事務所,金沢区,街区公園,金沢八幡公園,鋼製複合遊具,コンビネーション遊具,1,基,,3〜12,
金沢土木事務所,金沢区,街区公園,釜利谷公園,すべり台,,1,基,,6〜12,釜利谷東2-7
金沢土木事務所,金沢区,街区公園,釜利谷公園,ブランコ,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,釜利谷公園,鉄棒,,1,基,,6〜12,
金沢土木事務所,金沢区,街区公園,釜利谷第二公園,うんてい,太鼓橋,1,基,,6〜12,釜利谷東1-26
金沢土木事務所,金沢区,街区公園,釜利谷第二公園,スプリング遊具,クルマ,1,基,,3〜6,
金沢土木事務所,金沢区,街区公園,釜利谷第二公園,スプリング遊具,バイク,1,基,,3〜6,
