id,名称,名称よみ,郵便番号,住所,面積,経度,緯度,更新日,備考,Flickr set ID
P7001,富岡並木ふなだまり公園,,236-0051,神奈川県横浜市金沢区富岡東四丁目13番,"43,648",139.637711,35.366619,11/13/2014,,
P7002,能見堂緑地,,236-0056,神奈川県横浜市金沢区能見台森185-4,"238,054",139.618668,35.351158,11/13/2014,,
P7003,金沢自然公園,,236-0042,神奈川県横浜市金沢区釜利谷東五丁目15-1,"577,593",139.600418,35.351555,11/13/2014,,
P7004,長浜野口記念公園,,236-0011,神奈川県横浜市金沢区長浜94-1,"11,352",139.636322,35.357452,11/13/2014,,
P7005,海の公園,,236-0013,神奈川県横浜市金沢区海の公園10,"470,155",139.635162,35.339546,11/13/2014,,72157649378727176
P7006,富岡総合公園,,236-0051,神奈川県横浜市金沢区富岡東二丁目9,"219,208",139.631699,35.376331,11/13/2014,,
P7007,野島公園,,236-0025,神奈川県横浜市金沢区野島町24,"175,215",139.635712,35.327259,11/13/2014,,72157649026859107
P7008,長浜公園,,236-0011,神奈川県横浜市金沢区長浜106-6,"154,309",139.636749,35.361687,11/13/2014,,
P7009,富岡西公園,,236-0052,神奈川県横浜市金沢区富岡西6丁目3,"35,000",139.620575,35.36364,11/13/2014,,
P7010,富岡八幡公園,,236-0051,神奈川県横浜市金沢区富岡東四丁目12,"42,703",139.637466,35.369736,11/13/2014,,
P7011,阿王ケ台公園,,236-0057,神奈川県横浜市金沢区能見台六丁目9-1,"17,698",139.612946,35.352421,11/13/2014,,
P7012,釜利谷ひろば公園,,236-0057,神奈川県横浜市金沢区能見台六丁目37,"15,561",139.609634,35.354397,11/13/2014,,
P7013,釜利谷南公園,,236-0045,神奈川県横浜市金沢区釜利谷南二丁目6,"24,436",139.608078,35.33799,11/13/2014,,
P7014,草舞台公園,,236-0046,神奈川県横浜市金沢区釜利谷西五丁目29,"12,664",139.591934,35.340729,11/13/2014,,
P7015,富岡公園,,236-0052,神奈川県横浜市金沢区富岡西一丁目46,"18,898",139.623886,35.370506,11/13/2014,,
