管理者名称,地区名称,種別名称,公園名_漢字,施設ID,施設区分,施設名,仕様・規格,数量,単位,メーカー名,設置年度,標準使用期間,設置場所【地区名】,点検種別,対象年齢,写真ファイル,図面ファイル,改修・更新予定,塗装面積,備考,撤去FLG,住所
金沢土木事務所,金沢区,街区公園,赤井谷公園,K05910032,遊戯施設,すべり台,プレイシェイパー（幼児用）,1,基,(株)コトブキ,H20,,,詳細点検区分B,3〜6,すべり台（幼児用）_プレイシェイパー.JPG,すべり台（幼児用）_プレイシェイパー詳細図.pdf,,,CP-84035(変),,釜利谷東3-9
金沢土木事務所,金沢区,街区公園,赤井谷公園,K05910030,遊戯施設,ブランコ,BU-L4,1,基,(株)杉山製作所,H20,,,詳細点検区分C,6〜12,ブランコ_BU-L4.JPG,,,,ブランコマット,,
金沢土木事務所,金沢区,街区公園,赤井谷公園,K05910028,遊戯施設,砂場,ネット付,1,基,,H20,,,詳細点検区分A,,砂場_ネット付.JPG,砂場_ネット付詳細図.pdf,,,,,
金沢土木事務所,金沢区,街区公園,赤井谷公園,K05910031,遊戯施設,鉄棒,LTE-3,1,基,(株)サトミ産業,H20,,,詳細点検区分A,3〜12,鉄棒_LTE-3.JPG,,,,,,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,K05920005,遊戯施設,スプリング遊具,コアラ,1,基,(株)コトブキ,H12,5,,詳細点検区分A,3〜6,スプリング遊具_コアラ.jpg,,,,H25スプリング交換,,釜利谷東3-26
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,K05920030,遊戯施設,スプリング遊具,パンダ,1,基,(株)コトブキ,H12,5,,詳細点検区分A,3〜6,スプリング遊具_パンダ.jpg,,,,H25スプリング交換,,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,K05920031,遊戯施設,すべり台,SU-S,1,基,(株)丸山製作所,H25,,,詳細点検区分B,,,,,,,,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,K05920001,遊戯施設,ブランコ,BU-2（旧図集）,1,基,,H12,15,,詳細点検区分C,6〜12,ブランコ_BU-2（旧図集）.jpg,,,,防食テープ巻き、ブランコマットあり,,
金沢土木事務所,金沢区,街区公園,赤井谷第二公園,K05920003,遊戯施設,鉄棒,TE-A3,1,基,,H12,15,,詳細点検区分A,6〜12,鉄棒_TE-A3.jpg,,,,防食テープ巻き,,
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,K20060033,遊戯施設,ブランコ,BU-L2,1,基,(株)丸山製作所,H20,15,,詳細点検区分C,6〜12,ブランコ_BU-L2.jpg,,,,,,釜利谷東3-18
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,K20060002,遊戯施設,砂場,コンクリート縁石,1,か所,,H4,,,詳細点検区分A,3〜6,砂場_コンクリート縁石.jpg,,,,人研ぎ仕上げ、縦格子柵付,,
金沢土木事務所,金沢区,街区公園,赤井谷第三公園,K20060034,遊戯施設,鉄棒,LTE-2,1,基,(株)丸山製作所,H25,15,,詳細点検区分A,,,,,,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030035,遊戯施設,すべり台,SU-L,1,基,(株)杉山製作所,H23,,,詳細点検区分B,,すべり台_SU-L.jpg,,,,,,東朝比奈2-46
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030036,遊戯施設,ブランコ,BU-L２,1,基,(株)杉山製作所,H23,,,詳細点検区分C,,,,,,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030039,遊戯施設,ブランコマット,,5,m2,阪和工業(株),H23,,,,,,,,,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030038,遊戯施設,砂場,,1,基,,H23,,,詳細点検区分A,,砂場.jpg,,,,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030037,遊戯施設,鉄棒,LTE-3,1,基,(株)杉山製作所,H23,,,詳細点検区分A,,鉄棒_LTE-3.jpg,,,,,,
金沢土木事務所,金沢区,街区公園,朝比奈町公園,K16030040,遊戯施設,遊具説明板,,1,基,(株)サカエ,H23,,,,,遊具説明板.jpg,,,,,,
金沢土木事務所,金沢区,街区公園,イガイ根公園,K05930001,遊戯施設,鋼製複合遊具,,1,基,,H11,15,,詳細点検区分D,3〜12,鋼製複合遊具.jpg,,,,斜面型,,並木3-9
金沢土木事務所,金沢区,街区公園,伊賀山公園,K05940038,遊戯施設,ブランコ,BU-L2(児童用2連),1,基,(株)丸山製作所,H24,15,,詳細点検区分C,6〜12,ブランコ_BU-L2(児童用2連).JPG,,,,人工芝マット(2.5m×2m)付属,,大道1-42
金沢土木事務所,金沢区,街区公園,伊賀山公園,K05940037,遊戯施設,鋼製複合遊具,,1,基,タカオ(株),H24,15,,詳細点検区分D,3〜6,鋼製複合遊具.JPG,鋼製複合遊具詳細図.pdf,,,複合遊具マット(1m×1m)2基付属,,
金沢土木事務所,金沢区,街区公園,伊賀山公園,K05940039,遊戯施設,鉄棒,LTE-2,1,基,(株)丸山製作所,H24,15,,詳細点検区分A,3〜12,鉄棒_LTE-2.JPG,,,,,,
金沢土木事務所,金沢区,街区公園,大川公園,K05970001,遊戯施設,スプリング遊具,ブルドーザー,1,基,(株)中村製作所,H10,5,,詳細点検区分A,3〜6,スプリング遊具_ブルドーザー.jpg,,,,,,釜利谷東2-1
金沢土木事務所,金沢区,街区公園,大川公園,K05970002,遊戯施設,ブランコ,2連、円形安全柵,1,基,,H10,15,,詳細点検区分C,6〜12,ブランコ_2連、円形安全柵.jpg,,,,,,
金沢土木事務所,金沢区,街区公園,大川公園,K05970004,遊戯施設,鋼製複合遊具,,1,基,(株)中村製作所,H10,15,,詳細点検区分D,3〜6,鋼製複合遊具.jpg,,,,,,
