			
犬をリードから放すのは、絶対にやめましょう	犬のフンは必ず、飼い主が持ち帰りましょう	犬が柵をのりこえると危険ですので、注意しましょう	
ほかの利用者やご近所に迷惑となることはやめましょう	犬をはなさないでください	犬のフンは、必ず飼い主が家へ持ち帰って下さい	バイクの乗り入れは禁止です
かたづけようみんながめいわく犬のフン			
動物の遺棄・虐待は犯罪です。			
かながわの公園50選			
野球場利用案内			
猫などの動物を捨てないでください！	犬を散歩させるときは必ず網等につないでください！	飼い主は責任をもって動物とつき合い、食物の残りをフンなどは必ず持ち帰りましょう	動物を捨てたりいじめたりすると法律で罰せられます
広域避難場所 野島公園展望台	非常の場合以外は農地、山林には入らないでください	避難訓練などの際は土地所有者の承認を得て下さい	ゴミや空缶を捨てたり、汚さないようにしましょう
指定場所以外でのキャンプ及びバーベキュー等の火気使用は禁止します	キャンプや火気の使用に際しては、許可及び使用料が必要です。また、バーベキュー炉の利用には、予約が必要です。		
夜中の「大きな声」や「大きな音を出す花火」などについては、ご近所迷惑になりますので、ご遠慮ください。			
自転車・オートバイ・テレビなどの粗大ゴミの不法投棄は、犯罪です。不法投棄を見かけたら、金沢警察署まで、ご連絡下さい。			
金沢区に不幸な猫を増やさないために！「捨てない」「増やさない」「いじめない」動物の遺棄は犯罪です（罰金50万円）飼えなくなる前に不妊去勢手術を！！（動物の愛護及び管理に関する法律）			
ペットは放さず、フンは持ち帰って！			
かたづけようみんながめいわく犬のフン			
犬を連れている方へ 公園内で犬を放すことは条例などで禁止されています。（参考）横浜市動物の愛護及び管理に関する条例第7条	犬を散歩させるときは引き綱をつけて下さい	フンや抜け毛は持ち帰って下さい	マナーを守って楽しい公園に！
貝まき漁具を使用して、あさりを採る行為は違反になります。	貝まき漁具（じょれん）	漁業者でない方は、大きさに関係なく使用不可。また漁業者であっても、かご部分がすのこ状のものはその間隔は1.5cm以上、網目状のものはその目合い2.1cm以上が必要です	
公園内バイク等乗り入れ禁止（許可車以外）			
かながわの景勝50選 野島の夕映			
公園利用のお知らせ	この公園はみんなの公園です。清潔な環境で安心して遊べるように次のことを守りましょう	1. 木や草花を大切にしましょう	2. ゴミは、持ち帰りましょう
遊具であそぶときのおやくそく	フードつきのふくはきない	マフラーやストラップははずす	くつひもはむすぶ
野島掩体壕は、横須賀市夏島町にあった旧横須賀海軍航空隊既知の戦闘機を空襲から守る施設として建設されました。			
砂場ご利用のお子様の保護者様へ	ねこよけネットは砂場を使用される際に取り外して頂き、使用後は再度ネットをかけてください！		
近隣の人の迷惑になります 深夜、早朝は静かにしましょう			
バイク乗り入れ禁止	公園内、バイクの乗り入れはできません！所定の場所（第一駐車場横）へ駐車して徒歩にて園内へお入りください。		
公園内バイク等乗り入れ禁止（許可車以外）			
海岸にて釣りをされる方へ	禁止事項 1. 投げ釣り 2. 釣りざお・釣り糸・釣り針の放置 ルールとマナーを守りましょう		
この場所での花火・バーベキューは禁止です！			
園内ではゴルフなど危険な球技は禁止されています。他の利用者やご近所に迷惑です。			
おねがい ペットのフンをビニール袋ごとトイレに流さないで下さい。トイレ内に犬を入れて直接大小便をさせないで下さい。			
このトイレは、トイレットペーパーが盗まれたり、ペーパーホルダーが壊されたりといたずらが絶えないため、当面の対策として、現在トイレットペーパーを用意しておりません。ご不便をおかげしますが、ご理解とご協力をお願い申し上げます。			
公園内で火気を使用することは、横浜市公園条例第6条により指定された区域以外は禁止されています。キャンプをされる方は、予約の上キャンプ場を使用してください。			
火気厳禁	ペットを連れての入園は禁止		
ゴミ捨て禁止 この場所にゴミを捨てないで下さい！	ゴミは各自持ち帰っていただきますようお願いします。最低限の公共のルールは守って下さい！	※ボランティアで海浜ゴミの清掃をされる場合は、事前に管理棟受付までご相談下さい。	
多目的広場利用のみなさまへ	1 広場のしようにあたっては必ず管理運営委員会の承認を受けること。	2. 広場使用種目は次の各号に掲げるものとする。(1) 少年軟式野球、ソフトボール (2) ゲートボール (3) その他管理運営委員会が認める軽易なスポーツおよびレクリエーション等	3 委員会で定める使用時間を守りましょう
この水道は公園利用者のためのものです。洗車等、他の使用は禁止します。			
ゴミの持ち帰りにご協力ください	この公園にはごみ箱がありません。みんなの公園、みんなできれいに。		
犬を連れている方へ 公園内で犬を放すことは条例などで禁止されています。（参考）横浜市動物の愛護及び管理に関する条例第7条	犬を散歩させるときは引き綱をつけて下さい	フンや抜け毛は持ち帰って下さい	マナーを守って楽しい公園に！
おねがい 公園では他の利用者や近隣住民の迷惑になることはやめましょう。	・樹木や草花を大切にしましょう	・ゴルフなど危険な球技はやめましょう	犬は綱につなぎ、放し飼いはやめてください
公園内では、ゴルフ・サッカー・野球などの危険な球技は禁止です。	※他の利用者やご近所の迷惑になります。		
公園利用のみなさまへ 他の利用者やご近所に迷惑となることはやめましょう	1. ゴミは必ず持ち帰って下さい	2. バイクの乗り入れは禁止です	3. ゴルフの練習や、かたいボールを投げるなどの危険な遊びはやめましょう
タバコを吸われる方へ	海の公園について 次の各所（海の公園管理センタ、柴口休憩所、南口休憩所）に喫煙所を設けております。公園内はお子様をお連れの方も多く利用されていますので分煙にご協力をお願いします。	海水浴場について（7月の第2土曜日から8月31日までオープン）神奈川県の条例により、解す浴場区域内（砂浜）での喫煙は開場時間（8:30-17:00）禁止となります。開場時間外につきましても禁煙にご協力をお願いします。	
ルールを守って楽しい潮干狩りをしましょう −海の公園でのあさりの大量採取を禁止します−	海の公園の護岸から350メートルまでの水域は公園区域です。利用者の皆さんが公平に潮干狩りを楽しむ機会を確保し、将来にわたり生物資源としてのアサリを保護していくため、この区域でのアサリの採取の方法等については、下記のとおり規制します。(横浜市公園条例第6条第1項8号)	1 幅15cmを超える貝採り器具の使用を禁止します。 2 殻の長さ2cm以下のアサリの稚貝の採取を禁止します。3 一人が一度に採る貝の量は2kg以内とします。	上記に違反したものは、横浜市公園条例第26条第1項第3号に基づき、過料に処せられる場合があります。
トンビに注意！	食べ物を狙ってトンビが襲ってきます。絶対に、エサを与えないでください。ケガをする人が増えています。	この地域は火気厳禁	バーベキュー場以外での火気の使用は厳禁です。ただし線香花火など、音の出ない手持ち花火は使用可能です。楽しんだ後は必ず、あと始末をお願いします。
海の公園ビーチバレー場の利用について	海の公園ビーチバレー場は、ブランコや滑り台のようにお互いに譲り合いながらだれでも自由に利用し、ビーチバレーをすることができる施設です。横浜市の主催大会など公共の事業以外で予約して使用することはできません。特別な管理者が常駐しているわけではありません。利用される方皆様が次の利用ルールを守り、お互いに声をかけあいながらご利用ください。	利用ルール 1 海の公園ビーチバレー場はビーチバレー以外に使用しないでください。 2 許可ななく付属設備その他器具などを海の公園ビーチバレー場外に持ち出さないでください。 3 コート内に危険物(貝殻、ガラス片等)がないことを確認してからご利用ください。また、夜間の利用は危険ですのでおやめください。 4 次にお待ちの方がいる場合の使用コートは各団体1面までとし、多くの方が利用できるようにしてください。 5 1回の利用時間は各団体2時間あｍでとしてください。他に利用する方がいない場合には続けて利用することができます。 6 利用者が不在のまま荷物などをコートに放置し場所取りをすることはできません。放置された荷物等はコートの利用上危険なので見つけ次第撤去します。また、荷物等の放置されたコートを利用される方はそのまま利用すると危険ですので必ずコート外に移動させてからご利用ください。 7 各自で出したゴミは持ち帰りましょう。また、利用後はコート及び周辺のビーチクリーンを行なってください。 8 貴重品、体調管理は各自で行なってください。盗難、紛失、使用中の事故、ケガ等は自己責任になります。 9 気象状況、公共の大会、管理上の都合などで利用を休止または制限する場合があります。 10 海の公園ビーチバレー場は公園内にありますので他の公園利用ルールも当然適用されます。公園はみんなのものです。公園を利用する際には、他の利用者に十分配慮しながら利用しましょう！	
バイク乗り入れ禁止	犬を散歩させるときは綱につないで放さないでください。	フンは飼い主が始末し放置したり埋めたりしないでください。(横浜市動物保護管理条例)	愛情をもって犬を正しく飼いましょう
公園利用にあたっての注意事項	1. 釣り・野球・ゴルフなど他の利用者に危険や迷惑を及ぼす行為をしてはいけません。 2. 幼児の水遊びは、必ず大人が付き添ってください。 3 アサリマキ・スコップなどの貝取り器を使っての貝採取はできません。 4. 公園内の火気の使用はバーベキュー場を除いてできません。 5. 犬は必ずクサリ等でつないで散歩させてふんは飼い主が持ち帰りましょう。 6. ヨット・ボートなどを公園内に放置してはいけません。 7. その他、他の利用者の迷惑になることはやめましょう。		
自転車乗入禁止			
犬の遊び場 無料 ご自由にご利用ください。			
この花壇では、市立保育園の給食生ごみをリサイクルした肥料で植物を育てています。			
柵の中に入らないでください。(注: 看板劣化により補完)			
かたづけようみんながめいわく犬のフン			
お散歩は運動！「トイレは自宅で」がマナーです	犬のフンは持ち帰り、おしっこの後に水をかけるなどの配慮を・・・・		
犬を放すのはやめましょう こんなトラブルが起きています！ 咬みつき事故 犬同士のケンカそれによる怪我 交通事故 迷子 犬が苦手な人もいます。 おいかけられたことがあるから、こわくて アレルギーがあるので近づけません。 	金沢福祉保健センターや公園の管理事務所には、犬を放していることについての苦情・相談が多く寄せられています。放した結果、迷子になってしまったという問い合わせも多くあります。許可された場所以外で犬を放すのはやめましょう。	横浜市動物の愛護及び管理に関する条例 第7条第2項第1号、第17条(勧告)、第25条(罰則)	公共のマナーを守って快適な生活を！
公園では他の利用者や近隣住民の迷惑になることはやめましょう。 ・樹木や草花を大切にしましょう ・ゴルフ等危険な球技はやめましょう。 ・犬は網につなぎ、放し飼いはやめましょう。 ・ゴミや犬のフンは自分で持ち帰り、始末しましょう。 ロケット等の危険な花火はやめましょう。			
公園利用のみなさまへ 他の利用者やご近所に迷惑となることはやめましょう	・バイクの乗り入れは禁止です。 ・ゴルフ、野球、サッカーなどの危険な球技は禁止です。 ・スケートボードなど、危険なあそびは禁止です。 ・犬をはなさないでください。 ・ふんは必ず飼い主が家へ持ち帰ってください。 ロケット花火やバクチクなど、大きな音の出る花火は禁止です。 ・早朝、深夜に騒ぐことはやめてください。 樹木や草花を大切にしましょう。 	公園はみなさまのものです。ルールを守って使いましょう。	
大きな音の出る花火 ロケット花火 爆竹等は、禁止します。			
広域避難場所 松風公園一帯	津波の時、ここは危険！	お願い 地震のときの火災は、想像以上に恐ろしいものです。大火災から、私達の生命を守る場所、それが広域避難場所です。「まつかぜ公園一帯」は広域避難場所として土地所有者のご協力を得て指定したものです。避難訓練などの際には次のことがらを守ってください。 1.非常の場合以外は農地、山林には入らないで下さい。 2. 避難訓練などの際は土地所有者の承認を得てください。 3. ゴミや空き缶を捨てたり、汚さないようにしましょう。	地震による大きな揺れを感じたり、津波警報などの情報を得た時は、直ちに避難することを判断し、1. 海抜5m以上の高台または 2. 鉄筋コンクリート若しくは鉄骨鉄筋コンクリート造の頑丈な建物の3階以上を目安に避難してください。
ゲートボール 松風クラブ 浜風フレンズ	ゲートボール新人教室へのお誘い		
まつかぜ公園広場利用のみなさまへ	広場の利用について 1. 広場を貸し切りで利用する方は登録が必要です。 2.登録を希望する方は、毎月第三土曜日午後2時までに寺前公会堂へおいでください。3. 登録後、利用の申し込みをした時に利用承認書を発行しますので、利用時には必ず利用承認書を持参したください。 4. この広場ではソフトボール、少年野球等ができますが、利用の内容によっては許可できない場合がありますので、申込時に確認してください 5. 利用時間内に広場の整備と清掃を完了し、利用時間を厳守してください。 6. 使用した用具は数を確認し、所定の場所に収納してください。 7. 施設または用具等を壊したり、なくしたりした時は、直ちに現状に復旧するか、もしｋはその損害を弁償していただきます。 8. 広場内での事故については責任を負いません。	広場利用上の注意 1. 全具のついたスパイクは危険防止のため使用を禁止します。 2. 広場内では飲食・禁煙をしないでください。 3. ゴミ等の廃棄物は必ず持ち帰って下さい。 4. 道路に駐車しないでください。 5. 広場内でのゴルフの練習と犬の散歩は元気します。の事項に違反した時は、ただちに利用を中止させます。に以後の利用を禁止します。(一部欠落)	
不法投棄厳禁 粗大ごみ、家庭ごみなどの不法投棄はやめましょう。違反者には「5年以下の懲役、1千万円以下の罰金」が科されます。投棄者を見かけた方は、下記までご連絡下さい。			
公園利用のみなさまへ ほかの利用者やご近所に迷惑になることはやめましょう。 ・バイクの乗り入れは禁止です。 ・ゴルフ、野球、サッカーなどの危険な球技は禁止です。 ・犬をはなさないでください。 ・ふんは、必ず飼い主が家へ持ち帰って下さい。・ロケット花火やバクチクなど、大きな音の出る花火は禁止です。 ・早朝、深夜に騒ぐことはやめてください。 ・樹木や草花を大切にしましょう。 	公園はみなさまのものです。ルールを守って使いましょう。		
公園利用者のみなさまへ 1. ゴルフ、野球など危険なボール遊びや、音の出る花火は禁止します。 2. オートバイ、車の乗り入れは禁止します。 3. 犬は放さないで、フンは飼い主が片付けましょう。 4. 樹木や草花を大切にしましょう。 5. みんなで綺麗に使いましょう。			
ボールをこちら側に向けて蹴ったり投げたりしないで下さい			
マンションの壁にボールをぶつけないで下さい			
ゴミ置き場のかべにのぼらないでください			
公園内では、ゴルフ・サッカー野球などの危険な球技は禁止です。 ※他の利用者やご近所の迷惑になります。			
健康物語 エディケーションボード			
公園利用のみなさまへ 他の利用者やご近所に迷惑となることはやめましょう。	・バイクの乗り入れは禁止です。 ・ゴルフ、野球、サッカーなどの危険な球技は禁止です。・スケートボードなど、危険な遊びは禁止です。・犬をはなさないでください。・ふんは、必ず飼い主が家へ持ち帰ってください。・ロケット花火やバクチクなど、大きな音の出る花火は禁止です。・早朝・深夜に騒ぐことはやめてください。・樹木や草花を大切にしましょう。	公園はみなさまのものです。ルールを守って使いましょう。	
犬を散歩させるときは、綱につないで放さないで下さい。フンは飼い主が始末し、放置したり埋めたりしないで下さい。 (横浜市動物保護管理条例)			
公園内では、ゴルフ・サッカー 野球などの危険な球技は禁止です。 ※他の利用者やご近所の迷惑になります。			
オートバイ乗り入れ禁止			
おねがい 1. 木や草花を大切にしましょう。 2. 公園を汚さないようにしましょう。 3. 野球、ゴルフなどの危ない遊びはやめましょう 4. 犬のフンは必ずかたづけましょう 5. 車、オートバイなどの乗り入れはやめましょう。 6. 大きい音の出る花火、ロケット花火、爆竹等はやめましょう。			
このハチは、ニッポンハナダカバチです。神奈川県では絶滅のおそれのある生き物に指定されています。巣を砂地につくり、ハエやアブを幼虫のえさにします。つかまえようとしなければ、さされることはありません。子育てが終わるまでの間(6月下旬~8月下旬) そっと、見守ってください。			
ボールをこちら側に向けてけったり投げたりしないでください。			
かたづけよう みんながめいわく 犬のフン			
こうえんはみなさんのものです。ルールを守って使いましょう！ ・あぶないボール遊びはやめましょう。・オートバイなどの危険な乗り物で入らないで下さい。・ロケット花火やバクチクなど、大きな音の出る花火はやめましょう。・樹木や草花を大切にしましょう。・ゴミは自分で持ち帰りましょう。・犬を放さないでください。犬のふんは、飼い主がしまつしてください。・その他早朝・深夜に騒ぐなど、ほかの人に迷惑のかかることはやめましょう。			
ボールをこちら側に向けて、けったり投げたりしないでください。			
公園を気持ちよく利用するために、必ず次のことを守ってください。・犬を散歩させるときは綱につないで、放さないでください。・フンは飼い主が持ち帰り、放置したり埋めたりしないでください。			
公園利用者のみなさまへ 他の利用者やご近所に迷惑となることはやめましょう。	・ゴルフの練習や、かたいボールを投げるなどの 危険な遊びはやめてください。・犬を放さないでください。・犬のふんは、必ず飼い主が家へ持ち帰ってください。 公園の水道で車を洗うことは禁止です。・ゴミはできるだけ自分で持ち帰りましょう。・家庭のゴミを捨てないでください。・ロケット花火やバクチクなど、大きな音の出る花火は禁止です。・早朝・深夜に騒ぐことはやめてください。・樹木や草花を大切にしましょう。	公園はみなさんのものです。ルールを守って使いましょう！	
注意 下記を禁止します。 1. 許可のない立ち入り 2. ゴルフの練習・花火 3. 犬の放し散歩 4. ゴミ缶の投げ入れ			
ゴミの持ち帰りにご協力ください。 公園の清掃は、地元の愛護会の方々が行なってくださっています。みんなの公園、みんなできれいに。			
ゴミをすてないでください！ 公園の清掃は、地元の愛護会の方々が行っています。みんなの公園みんなできれいに。			
